Gender,Total - Music preferences by genre,Classical music,Country music,Dance / electronic music,"Folk music (only shown to respondents in the United Kingdom, and the United States)",Jazz and blues,Pop / adult contemporary music,Religious,Rock / alternative / indie music,"Urban music (hip hop, R&B, etc.)",World music,Other,Don't know
Female,50%,38%,54%,50%,38%,42%,60%,54%,51%,55%,45%,52%,57%
Male,50%,62%,46%,50%,62%,58%,40%,46%,49%,45%,55%,48%,43%
